representative,parameter,eps,sigma_zz,grad_ad,grad_fd,abs_error,rel_error
volume_weighted_mean,E,100.0,-180.05622685276617,-0.0027770876787269376,-0.002777087678260557,4.663808401972336e-13,1.679388244634142e-10
volume_weighted_mean,k,1.0,-180.05622685276617,0.28679821316239007,0.2867983119749056,9.881251550325487e-08,3.4453660073111177e-07
most_plastic_quad,E,100.0,-180.05622685276614,-0.002777087678726937,-0.002777087678260557,4.663804065163646e-13,1.679386682995047e-10
most_plastic_quad,k,1.0,-180.05622685276614,0.28679821316239007,0.28679831197489136,9.881250129240016e-08,3.445365511811346e-07
