displacement,parameter_index,parameter,loss,grad_ad,grad_fd,abs_error,rel_error,plastic_count,apex_count
-0.02,0,E,-140.0,-0.0020000000000000013,-0.0019999999999998864,1.1492543028346347e-16,5.74627151417317e-14,0,0
-0.02,1,k,-140.0,0.0,0.0,0.0,0.0,0,0
-0.021,0,E,-147.00000000000006,-0.002100000000000001,-0.0021000000000000797,7.849623728795052e-17,3.7379160613308355e-14,0,0
-0.021,1,k,-147.00000000000006,0.0,0.0,0.0,0.0,0,0
-0.022,0,E,-154.0,-0.0021999999999999997,-0.0021999999999999884,1.1275702593849246e-17,5.125319360840567e-15,0,0
-0.022,1,k,-154.0,0.0,0.0,0.0,0.0,0,0
-0.023,0,E,-161.00000000000003,-0.0022999999999999987,-0.0022999999999998976,1.0104764247564901e-16,4.3933757598108293e-14,0,0
-0.023,1,k,-161.00000000000003,0.0,0.0,0.0,0.0,0,0
-0.024,0,E,-168.0,-0.002400000000000001,-0.002400000000000091,8.977193988179977e-17,3.740497495074849e-14,0,0
-0.024,1,k,-168.0,0.0,0.0,0.0,0.0,0,0
-0.025,0,E,-175.0,-0.0025000000000000005,-0.0025,4.336808689942018e-19,1.7347234759768068e-16,0,0
-0.025,1,k,-175.0,0.0,0.0,0.0,0.0,0,0
-0.026,0,E,-179.867406149149,-2.7466572772973444e-05,-0.002774985713152205,0.0027475191403792316,0.9901020849791067,64,0
-0.026,1,k,-179.867406149149,-3.5588949211006518,0.28763205515505774,3.8465269762557095,1.080820609074376,64,0
-0.027,0,E,-179.9324718445847,-2.203945922413242e-05,-0.0027756682616480077,0.0027536288024238753,0.9920597646596835,64,0
-0.027,1,k,-179.9324718445847,-3.5677941939489854,0.28728628180941485,3.8550804757584003,1.0805221002648233,64,0
-0.028,0,E,-179.98324575893312,-1.8017645570154138e-05,-0.0027762276864976344,0.0027582100409274802,0.993510025975973,64,0
-0.028,1,k,-179.98324575893312,-3.5744402112295903,0.2870539767486804,3.8614941879782707,1.0803073935456695,64,0
-0.029,0,E,-180.0236129115167,-1.4966243846037917e-05,-0.002776693804621004,0.0027617275607749662,0.9946100488929924,64,0
-0.029,1,k,-180.0236129115167,-3.579519516488617,0.2868991817765618,3.866418698265179,1.0801501934701,64,0
-0.03,0,E,-180.0562268527662,-1.2603562076299053e-05,-0.0027770876782601305,0.0027644841161838314,0.9954615901489307,64,0
-0.03,1,k,-180.0562268527662,-3.5834795495503036,0.2867983119749198,3.8702778615252234,1.0800334724976763,64,0
-0.031,0,E,-180.0829485540833,-1.0741483847240794e-05,-0.0027774245691311707,0.00276668308528393,0.9961325740520107,64,0
-0.031,1,k,-180.0829485540833,-3.586620892866768,0.2867355135707754,3.8733564064375434,1.0799458660771892,64,0
