parameter,eps,grad_fd,grad_ad,abs_error,rel_error
E,500.0,-0.0027770876670645066,-1.2603562076299053e-05,0.0027644841049882076,0.9954615901306344
E,200.0,-0.002777087676861001,-1.2603562076299053e-05,0.002764484114784702,0.9954615901466441
E,100.0,-0.0027770876782601305,-1.2603562076299053e-05,0.0027644841161838314,0.9954615901489307
E,50.0,-0.0027770876786107125,-1.2603562076299053e-05,0.0027644841165344134,0.9954615901495036
E,20.0,-0.002777087678708057,-1.2603562076299053e-05,0.002764484116631758,0.9954615901496626
E,10.0,-0.002777087678721557,-1.2603562076299053e-05,0.002764484116645258,0.9954615901496847
E,5.0,-0.0027770876787286624,-1.2603562076299053e-05,0.0027644841166523633,0.9954615901496964
E,2.0,-0.0027770876787442944,-1.2603562076299053e-05,0.0027644841166679954,0.9954615901497219
E,1.0,-0.0027770876787798215,-1.2603562076299053e-05,0.0027644841167035225,0.99546159014978
E,0.5,-0.002777087678651924,-1.2603562076299053e-05,0.002764484116575625,0.9954615901495709
E,0.1,-0.0027770876789645627,-1.2603562076299053e-05,0.0027644841168882636,0.9954615901500818
k,500.0,0.3530371184363504,-3.5834795495503036,3.936516667986654,1.0985179665614817
k,200.0,0.049259462757542775,-3.5834795495503036,3.6327390123078462,1.0137462659061984
k,100.0,-0.4791815541630304,-3.5834795495503036,3.1042979953872734,0.8662803714833077
k,50.0,-1.6573236087738425,-3.5834795495503036,1.926155940776461,0.5375099576103838
k,20.0,0.28683773264107304,-3.5834795495503036,3.8703172821913765,1.080044473164935
k,10.0,0.28680809407054253,-3.5834795495503036,3.870287643620846,1.0800362022734398
k,5.0,0.2868006834543365,-3.5834795495503036,3.87028023300464,1.080034134278882
k,2.0,0.2867986084119991,-3.5834795495503036,3.8702781579623027,1.0800335552209277
k,1.0,0.2867983119749198,-3.5834795495503036,3.8702778615252234,1.0800334724976763
k,0.5,0.28679823786546876,-3.5834795495503036,3.8702777874157723,1.0800334518168129
k,0.1,0.2867982141499681,-3.5834795495503036,3.8702777637002717,1.0800334451988036
