comparison,variant,E,k,num_quadrature_points,plastic_count,apex_count,elastic_count,f_yield_min,f_yield_max,f_yield_mean
E,minus,69900.0,50.0,64,64,0,0,113.39877236611102,113.39877236611139,113.39877236611125
E,base,70000.0,50.0,64,64,0,0,113.63228694738339,113.63228694738376,113.63228694738356
E,plus,70100.0,50.0,64,64,0,0,113.8658018791744,113.86580187917477,113.8658018791746
k,minus,70000.0,49.0,64,64,0,0,114.62888215495173,114.62888215495212,114.62888215495192
k,base,70000.0,50.0,64,64,0,0,113.63228694738339,113.63228694738376,113.63228694738356
k,plus,70000.0,51.0,64,64,0,0,112.6357604413326,112.63576044133299,112.63576044133278
